Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2022-04-12 00:00:00-04:00,435.69815174602684,438.3236820133733,429.3752845223197,430.98797607421875,84363600,0.0,0.0,0.0
2022-04-13 00:00:00-04:00,430.7323443416967,436.7110373013941,430.54550737334836,435.92437744140625,74070400,0.0,0.0,0.0
2022-04-14 00:00:00-04:00,436.16035471195846,437.32071847872334,430.38815490825795,430.496337890625,97869500,0.0,0.0,0.0
2022-04-18 00:00:00-04:00,429.5326316208526,432.42365287193917,428.35261192317125,430.6733093261719,66002500,0.0,0.0,0.0
2022-04-19 00:00:00-04:00,430.56514680479415,438.37286715190373,430.38815284447753,437.62554931640625,77821000,0.0,0.0,0.0
2022-04-20 00:00:00-04:00,439.47422791215195,440.1133927676575,436.0915366664457,437.301025390625,65224400,0.0,0.0,0.0
2022-04-21 00:00:00-04:00,441.0672217295319,442.51273236850005,429.8178125413106,430.7618103027344,85417300,0.0,0.0,0.0
2022-04-22 00:00:00-04:00,429.6309759724613,430.7814666807268,418.35206778186955,418.94207763671875,132471800,0.0,0.0,0.0
2022-04-25 00:00:00-04:00,416.61158020054484,421.547935121335,411.86203223061597,421.3709411621094,119647700,0.0,0.0,0.0
2022-04-26 00:00:00-04:00,418.73557107703834,418.942094040268,409.1381950983568,409.1676940917969,103996300,0.0,0.0,0.0
2022-04-27 00:00:00-04:00,410.28867727670763,415.87406999420665,408.0958487888094,410.31817626953125,122030000,0.0,0.0,0.0
2022-04-28 00:00:00-04:00,415.2545619161456,422.48211526298655,410.64269597145403,420.6825866699219,105449100,0.0,0.0,0.0
2022-04-29 00:00:00-04:00,416.5328906919373,418.774904173193,404.359139505177,405.135986328125,145491100,0.0,0.0,0.0
2022-05-02 00:00:00-04:00,405.2048240794289,408.990688175702,398.2722607321668,407.5746765136719,158312500,0.0,0.0,0.0
2022-05-03 00:00:00-04:00,408.0958529802805,411.9505281248433,406.4733183308743,409.4430236816406,100028200,0.0,0.0,0.0
2022-05-04 00:00:00-04:00,410.1313223671411,422.5017530053057,406.8174722705639,421.9117431640625,144247900,0.0,0.0,0.0
2022-05-05 00:00:00-04:00,417.4768608586692,417.9193757307486,402.6186122811969,406.9158020019531,172929100,0.0,0.0,0.0
2022-05-06 00:00:00-04:00,404.2509770571669,407.8893161251513,398.9704474033467,404.4869689941406,151770800,0.0,0.0,0.0
2022-05-09 00:00:00-04:00,398.35094484059505,399.6391175321337,389.8942168589743,391.5364074707031,155586100,0.0,0.0,0.0
2022-05-10 00:00:00-04:00,397.75113031568384,399.31463709177825,388.24225067587037,392.44110107421875,132497200,0.0,0.0,0.0
2022-05-11 00:00:00-04:00,391.4380394163251,397.3085785932236,385.42981827779795,386.2066650390625,142361000,0.0,0.0,0.0
2022-05-12 00:00:00-04:00,382.88300746880554,389.2058750872119,378.7333123737365,385.80352783203125,125090800,0.0,0.0,0.0
2022-05-13 00:00:00-04:00,390.1007103641917,396.4629198537888,389.01903061921615,395.0272521972656,104174400,0.0,0.0,0.0
2022-05-16 00:00:00-04:00,393.3162549878561,397.23977109695517,390.9759015160607,393.4244079589844,78622400,0.0,0.0,0.0
2022-05-17 00:00:00-04:00,399.75711686989354,401.7631384101407,395.8729127614018,401.5173034667969,83029700,0.0,0.0,0.0
2022-05-18 00:00:00-04:00,396.77757049042134,397.07256039790815,384.0433093223243,385.33148193359375,117674500,0.0,0.0,0.0
2022-05-19 00:00:00-04:00,382.14549478029676,387.57354949047794,380.6606421318018,382.97149658203125,98510700,0.0,0.0,0.0
